index,host,quell_v,d_artagnan,musketiere,d1,d2,gap_pair
1,E,"(5, 7, 11, 13)",13,"(5, 7, 11)",2,4,"(2, 4)"
2,A,"(11, 13, 17, 19)",11,"(13, 17, 19)",4,2,"(4, 2)"
3,B,"(101, 103, 107, 109)",103,"(101, 107, 109)",6,2,"(6, 2)"
4,C,"(191, 193, 197, 199)",197,"(191, 193, 199)",2,6,"(2, 6)"
5,E,"(821, 823, 827, 829)",829,"(821, 823, 827)",2,4,"(2, 4)"
6,A,"(1481, 1483, 1487, 1489)",1481,"(1483, 1487, 1489)",4,2,"(4, 2)"
7,B,"(1871, 1873, 1877, 1879)",1873,"(1871, 1877, 1879)",6,2,"(6, 2)"
8,C,"(2081, 2083, 2087, 2089)",2087,"(2081, 2083, 2089)",2,6,"(2, 6)"
9,E,"(3251, 3253, 3257, 3259)",3259,"(3251, 3253, 3257)",2,4,"(2, 4)"
10,A,"(3461, 3463, 3467, 3469)",3461,"(3463, 3467, 3469)",4,2,"(4, 2)"
11,B,"(5651, 5653, 5657, 5659)",5653,"(5651, 5657, 5659)",6,2,"(6, 2)"
12,C,"(9431, 9433, 9437, 9439)",9437,"(9431, 9433, 9439)",2,6,"(2, 6)"
13,E,"(13001, 13003, 13007, 13009)",13009,"(13001, 13003, 13007)",2,4,"(2, 4)"
14,A,"(15641, 15643, 15647, 15649)",15641,"(15643, 15647, 15649)",4,2,"(4, 2)"
15,B,"(15731, 15733, 15737, 15739)",15733,"(15731, 15737, 15739)",6,2,"(6, 2)"
16,C,"(16061, 16063, 16067, 16069)",16067,"(16061, 16063, 16069)",2,6,"(2, 6)"
17,E,"(18041, 18043, 18047, 18049)",18049,"(18041, 18043, 18047)",2,4,"(2, 4)"
18,A,"(18911, 18913, 18917, 18919)",18911,"(18913, 18917, 18919)",4,2,"(4, 2)"
19,B,"(19421, 19423, 19427, 19429)",19423,"(19421, 19427, 19429)",6,2,"(6, 2)"
20,C,"(21011, 21013, 21017, 21019)",21017,"(21011, 21013, 21019)",2,6,"(2, 6)"
21,E,"(22271, 22273, 22277, 22279)",22279,"(22271, 22273, 22277)",2,4,"(2, 4)"
22,A,"(25301, 25303, 25307, 25309)",25301,"(25303, 25307, 25309)",4,2,"(4, 2)"
23,B,"(31721, 31723, 31727, 31729)",31723,"(31721, 31727, 31729)",6,2,"(6, 2)"
24,C,"(34841, 34843, 34847, 34849)",34847,"(34841, 34843, 34849)",2,6,"(2, 6)"
25,E,"(43781, 43783, 43787, 43789)",43789,"(43781, 43783, 43787)",2,4,"(2, 4)"
26,A,"(51341, 51343, 51347, 51349)",51341,"(51343, 51347, 51349)",4,2,"(4, 2)"
27,B,"(55331, 55333, 55337, 55339)",55333,"(55331, 55337, 55339)",6,2,"(6, 2)"
28,C,"(62981, 62983, 62987, 62989)",62987,"(62981, 62983, 62989)",2,6,"(2, 6)"
29,E,"(67211, 67213, 67217, 67219)",67219,"(67211, 67213, 67217)",2,4,"(2, 4)"
30,A,"(69491, 69493, 69497, 69499)",69491,"(69493, 69497, 69499)",4,2,"(4, 2)"
31,B,"(72221, 72223, 72227, 72229)",72223,"(72221, 72227, 72229)",6,2,"(6, 2)"
32,C,"(77261, 77263, 77267, 77269)",77267,"(77261, 77263, 77269)",2,6,"(2, 6)"
33,E,"(79691, 79693, 79697, 79699)",79699,"(79691, 79693, 79697)",2,4,"(2, 4)"
34,A,"(81041, 81043, 81047, 81049)",81041,"(81043, 81047, 81049)",4,2,"(4, 2)"
35,B,"(82721, 82723, 82727, 82729)",82723,"(82721, 82727, 82729)",6,2,"(6, 2)"
36,C,"(88811, 88813, 88817, 88819)",88817,"(88811, 88813, 88819)",2,6,"(2, 6)"
37,E,"(97841, 97843, 97847, 97849)",97849,"(97841, 97843, 97847)",2,4,"(2, 4)"
38,A,"(99131, 99133, 99137, 99139)",99131,"(99133, 99137, 99139)",4,2,"(4, 2)"
39,B,"(101111, 101113, 101117, 101119)",101113,"(101111, 101117, 101119)",6,2,"(6, 2)"
40,C,"(109841, 109843, 109847, 109849)",109847,"(109841, 109843, 109849)",2,6,"(2, 6)"
41,E,"(116531, 116533, 116537, 116539)",116539,"(116531, 116533, 116537)",2,4,"(2, 4)"
42,A,"(119291, 119293, 119297, 119299)",119291,"(119293, 119297, 119299)",4,2,"(4, 2)"
43,B,"(122201, 122203, 122207, 122209)",122203,"(122201, 122207, 122209)",6,2,"(6, 2)"
44,C,"(135461, 135463, 135467, 135469)",135467,"(135461, 135463, 135469)",2,6,"(2, 6)"
45,E,"(144161, 144163, 144167, 144169)",144169,"(144161, 144163, 144167)",2,4,"(2, 4)"
46,A,"(157271, 157273, 157277, 157279)",157271,"(157273, 157277, 157279)",4,2,"(4, 2)"
47,B,"(165701, 165703, 165707, 165709)",165703,"(165701, 165707, 165709)",6,2,"(6, 2)"
48,C,"(166841, 166843, 166847, 166849)",166847,"(166841, 166843, 166849)",2,6,"(2, 6)"
49,E,"(171161, 171163, 171167, 171169)",171169,"(171161, 171163, 171167)",2,4,"(2, 4)"
50,A,"(187631, 187633, 187637, 187639)",187631,"(187633, 187637, 187639)",4,2,"(4, 2)"
51,B,"(194861, 194863, 194867, 194869)",194863,"(194861, 194867, 194869)",6,2,"(6, 2)"
52,C,"(195731, 195733, 195737, 195739)",195737,"(195731, 195733, 195739)",2,6,"(2, 6)"
53,E,"(201491, 201493, 201497, 201499)",201499,"(201491, 201493, 201497)",2,4,"(2, 4)"
54,A,"(201821, 201823, 201827, 201829)",201821,"(201823, 201827, 201829)",4,2,"(4, 2)"
55,B,"(217361, 217363, 217367, 217369)",217363,"(217361, 217367, 217369)",6,2,"(6, 2)"
56,C,"(225341, 225343, 225347, 225349)",225347,"(225341, 225343, 225349)",2,6,"(2, 6)"
57,E,"(240041, 240043, 240047, 240049)",240049,"(240041, 240043, 240047)",2,4,"(2, 4)"
58,A,"(243701, 243703, 243707, 243709)",243701,"(243703, 243707, 243709)",4,2,"(4, 2)"
59,B,"(247601, 247603, 247607, 247609)",247603,"(247601, 247607, 247609)",6,2,"(6, 2)"
60,C,"(247991, 247993, 247997, 247999)",247997,"(247991, 247993, 247999)",2,6,"(2, 6)"
61,E,"(257861, 257863, 257867, 257869)",257869,"(257861, 257863, 257867)",2,4,"(2, 4)"
62,A,"(260411, 260413, 260417, 260419)",260411,"(260413, 260417, 260419)",4,2,"(4, 2)"
63,B,"(266681, 266683, 266687, 266689)",266683,"(266681, 266687, 266689)",6,2,"(6, 2)"
64,C,"(268811, 268813, 268817, 268819)",268817,"(268811, 268813, 268819)",2,6,"(2, 6)"
65,E,"(276041, 276043, 276047, 276049)",276049,"(276041, 276043, 276047)",2,4,"(2, 4)"
66,A,"(284741, 284743, 284747, 284749)",284741,"(284743, 284747, 284749)",4,2,"(4, 2)"
67,B,"(285281, 285283, 285287, 285289)",285283,"(285281, 285287, 285289)",6,2,"(6, 2)"
68,C,"(294311, 294313, 294317, 294319)",294317,"(294311, 294313, 294319)",2,6,"(2, 6)"
69,E,"(295871, 295873, 295877, 295879)",295879,"(295871, 295873, 295877)",2,4,"(2, 4)"
70,A,"(299471, 299473, 299477, 299479)",299471,"(299473, 299477, 299479)",4,2,"(4, 2)"
71,B,"(300491, 300493, 300497, 300499)",300493,"(300491, 300497, 300499)",6,2,"(6, 2)"
72,C,"(301991, 301993, 301997, 301999)",301997,"(301991, 301993, 301999)",2,6,"(2, 6)"
73,E,"(326141, 326143, 326147, 326149)",326149,"(326141, 326143, 326147)",2,4,"(2, 4)"
74,A,"(334421, 334423, 334427, 334429)",334421,"(334423, 334427, 334429)",4,2,"(4, 2)"
75,B,"(340931, 340933, 340937, 340939)",340933,"(340931, 340937, 340939)",6,2,"(6, 2)"
76,C,"(346391, 346393, 346397, 346399)",346397,"(346391, 346393, 346399)",2,6,"(2, 6)"
77,E,"(347981, 347983, 347987, 347989)",347989,"(347981, 347983, 347987)",2,4,"(2, 4)"
78,A,"(354251, 354253, 354257, 354259)",354251,"(354253, 354257, 354259)",4,2,"(4, 2)"
79,B,"(358901, 358903, 358907, 358909)",358903,"(358901, 358907, 358909)",6,2,"(6, 2)"
80,C,"(361211, 361213, 361217, 361219)",361217,"(361211, 361213, 361219)",2,6,"(2, 6)"
81,E,"(375251, 375253, 375257, 375259)",375259,"(375251, 375253, 375257)",2,4,"(2, 4)"
82,A,"(388691, 388693, 388697, 388699)",388691,"(388693, 388697, 388699)",4,2,"(4, 2)"
83,B,"(389561, 389563, 389567, 389569)",389563,"(389561, 389567, 389569)",6,2,"(6, 2)"
84,C,"(392261, 392263, 392267, 392269)",392267,"(392261, 392263, 392269)",2,6,"(2, 6)"
85,E,"(394811, 394813, 394817, 394819)",394819,"(394811, 394813, 394817)",2,4,"(2, 4)"
86,A,"(397541, 397543, 397547, 397549)",397541,"(397543, 397547, 397549)",4,2,"(4, 2)"
87,B,"(397751, 397753, 397757, 397759)",397753,"(397751, 397757, 397759)",6,2,"(6, 2)"
88,C,"(402131, 402133, 402137, 402139)",402137,"(402131, 402133, 402139)",2,6,"(2, 6)"
89,E,"(402761, 402763, 402767, 402769)",402769,"(402761, 402763, 402767)",2,4,"(2, 4)"
90,A,"(412031, 412033, 412037, 412039)",412031,"(412033, 412037, 412039)",4,2,"(4, 2)"
91,B,"(419051, 419053, 419057, 419059)",419053,"(419051, 419057, 419059)",6,2,"(6, 2)"
92,C,"(420851, 420853, 420857, 420859)",420857,"(420851, 420853, 420859)",2,6,"(2, 6)"
93,E,"(427241, 427243, 427247, 427249)",427249,"(427241, 427243, 427247)",2,4,"(2, 4)"
94,A,"(442571, 442573, 442577, 442579)",442571,"(442573, 442577, 442579)",4,2,"(4, 2)"
95,B,"(444341, 444343, 444347, 444349)",444343,"(444341, 444347, 444349)",6,2,"(6, 2)"
96,C,"(452531, 452533, 452537, 452539)",452537,"(452531, 452533, 452539)",2,6,"(2, 6)"
97,E,"(463451, 463453, 463457, 463459)",463459,"(463451, 463453, 463457)",2,4,"(2, 4)"
98,A,"(465161, 465163, 465167, 465169)",465161,"(465163, 465167, 465169)",4,2,"(4, 2)"
99,B,"(467471, 467473, 467477, 467479)",467473,"(467471, 467477, 467479)",6,2,"(6, 2)"
100,C,"(470081, 470083, 470087, 470089)",470087,"(470081, 470083, 470089)",2,6,"(2, 6)"
101,E,"(477011, 477013, 477017, 477019)",477019,"(477011, 477013, 477017)",2,4,"(2, 4)"
102,A,"(490571, 490573, 490577, 490579)",490571,"(490573, 490577, 490579)",4,2,"(4, 2)"
103,B,"(495611, 495613, 495617, 495619)",495613,"(495611, 495617, 495619)",6,2,"(6, 2)"
104,C,"(500231, 500233, 500237, 500239)",500237,"(500231, 500233, 500239)",2,6,"(2, 6)"
105,E,"(510611, 510613, 510617, 510619)",510619,"(510611, 510613, 510617)",2,4,"(2, 4)"
106,A,"(518801, 518803, 518807, 518809)",518801,"(518803, 518807, 518809)",4,2,"(4, 2)"
107,B,"(536441, 536443, 536447, 536449)",536443,"(536441, 536447, 536449)",6,2,"(6, 2)"
108,C,"(536771, 536773, 536777, 536779)",536777,"(536771, 536773, 536779)",2,6,"(2, 6)"
109,E,"(539501, 539503, 539507, 539509)",539509,"(539501, 539503, 539507)",2,4,"(2, 4)"
110,A,"(549161, 549163, 549167, 549169)",549161,"(549163, 549167, 549169)",4,2,"(4, 2)"
111,B,"(559211, 559213, 559217, 559219)",559213,"(559211, 559217, 559219)",6,2,"(6, 2)"
112,C,"(563411, 563413, 563417, 563419)",563417,"(563411, 563413, 563419)",2,6,"(2, 6)"
113,E,"(570041, 570043, 570047, 570049)",570049,"(570041, 570043, 570047)",2,4,"(2, 4)"
114,A,"(572651, 572653, 572657, 572659)",572651,"(572653, 572657, 572659)",4,2,"(4, 2)"
115,B,"(585911, 585913, 585917, 585919)",585913,"(585911, 585917, 585919)",6,2,"(6, 2)"
116,C,"(594821, 594823, 594827, 594829)",594827,"(594821, 594823, 594829)",2,6,"(2, 6)"
117,E,"(597671, 597673, 597677, 597679)",597679,"(597671, 597673, 597677)",2,4,"(2, 4)"
118,A,"(607301, 607303, 607307, 607309)",607301,"(607303, 607307, 607309)",4,2,"(4, 2)"
119,B,"(622241, 622243, 622247, 622249)",622243,"(622241, 622247, 622249)",6,2,"(6, 2)"
120,C,"(626621, 626623, 626627, 626629)",626627,"(626621, 626623, 626629)",2,6,"(2, 6)"
121,E,"(632081, 632083, 632087, 632089)",632089,"(632081, 632083, 632087)",2,4,"(2, 4)"
122,A,"(632321, 632323, 632327, 632329)",632321,"(632323, 632327, 632329)",4,2,"(4, 2)"
123,B,"(633461, 633463, 633467, 633469)",633463,"(633461, 633467, 633469)",6,2,"(6, 2)"
124,C,"(633791, 633793, 633797, 633799)",633797,"(633791, 633793, 633799)",2,6,"(2, 6)"
125,E,"(654161, 654163, 654167, 654169)",654169,"(654161, 654163, 654167)",2,4,"(2, 4)"
126,A,"(657491, 657493, 657497, 657499)",657491,"(657493, 657497, 657499)",4,2,"(4, 2)"
127,B,"(661091, 661093, 661097, 661099)",661093,"(661091, 661097, 661099)",6,2,"(6, 2)"
128,C,"(663581, 663583, 663587, 663589)",663587,"(663581, 663583, 663589)",2,6,"(2, 6)"
129,E,"(664661, 664663, 664667, 664669)",664669,"(664661, 664663, 664667)",2,4,"(2, 4)"
130,A,"(666431, 666433, 666437, 666439)",666431,"(666433, 666437, 666439)",4,2,"(4, 2)"
131,B,"(680291, 680293, 680297, 680299)",680293,"(680291, 680297, 680299)",6,2,"(6, 2)"
132,C,"(681251, 681253, 681257, 681259)",681257,"(681251, 681253, 681259)",2,6,"(2, 6)"
133,E,"(691721, 691723, 691727, 691729)",691729,"(691721, 691723, 691727)",2,4,"(2, 4)"
134,A,"(705161, 705163, 705167, 705169)",705161,"(705163, 705167, 705169)",4,2,"(4, 2)"
135,B,"(715151, 715153, 715157, 715159)",715153,"(715151, 715157, 715159)",6,2,"(6, 2)"
136,C,"(734471, 734473, 734477, 734479)",734477,"(734471, 734473, 734479)",2,6,"(2, 6)"
137,E,"(736361, 736363, 736367, 736369)",736369,"(736361, 736363, 736367)",2,4,"(2, 4)"
138,A,"(739391, 739393, 739397, 739399)",739391,"(739393, 739397, 739399)",4,2,"(4, 2)"
139,B,"(768191, 768193, 768197, 768199)",768193,"(768191, 768197, 768199)",6,2,"(6, 2)"
140,C,"(773021, 773023, 773027, 773029)",773027,"(773021, 773023, 773029)",2,6,"(2, 6)"
141,E,"(795791, 795793, 795797, 795799)",795799,"(795791, 795793, 795797)",2,4,"(2, 4)"
142,A,"(803441, 803443, 803447, 803449)",803441,"(803443, 803447, 803449)",4,2,"(4, 2)"
143,B,"(814061, 814063, 814067, 814069)",814063,"(814061, 814067, 814069)",6,2,"(6, 2)"
144,C,"(822161, 822163, 822167, 822169)",822167,"(822161, 822163, 822169)",2,6,"(2, 6)"
145,E,"(823721, 823723, 823727, 823729)",823729,"(823721, 823723, 823727)",2,4,"(2, 4)"
146,A,"(829721, 829723, 829727, 829729)",829721,"(829723, 829727, 829729)",4,2,"(4, 2)"
147,B,"(833711, 833713, 833717, 833719)",833713,"(833711, 833717, 833719)",6,2,"(6, 2)"
148,C,"(837071, 837073, 837077, 837079)",837077,"(837071, 837073, 837079)",2,6,"(2, 6)"
149,E,"(845981, 845983, 845987, 845989)",845989,"(845981, 845983, 845987)",2,4,"(2, 4)"
150,A,"(854921, 854923, 854927, 854929)",854921,"(854923, 854927, 854929)",4,2,"(4, 2)"
151,B,"(855731, 855733, 855737, 855739)",855733,"(855731, 855737, 855739)",6,2,"(6, 2)"
152,C,"(857951, 857953, 857957, 857959)",857957,"(857951, 857953, 857959)",2,6,"(2, 6)"
153,E,"(875261, 875263, 875267, 875269)",875269,"(875261, 875263, 875267)",2,4,"(2, 4)"
154,A,"(876011, 876013, 876017, 876019)",876011,"(876013, 876017, 876019)",4,2,"(4, 2)"
155,B,"(881471, 881473, 881477, 881479)",881473,"(881471, 881477, 881479)",6,2,"(6, 2)"
156,C,"(889871, 889873, 889877, 889879)",889877,"(889871, 889873, 889879)",2,6,"(2, 6)"
157,E,"(907391, 907393, 907397, 907399)",907399,"(907391, 907393, 907397)",2,4,"(2, 4)"
158,A,"(930071, 930073, 930077, 930079)",930071,"(930073, 930077, 930079)",4,2,"(4, 2)"
159,B,"(938051, 938053, 938057, 938059)",938053,"(938051, 938057, 938059)",6,2,"(6, 2)"
160,C,"(946661, 946663, 946667, 946669)",946667,"(946661, 946663, 946669)",2,6,"(2, 6)"
161,E,"(954971, 954973, 954977, 954979)",954979,"(954971, 954973, 954977)",2,4,"(2, 4)"
162,A,"(958541, 958543, 958547, 958549)",958541,"(958543, 958547, 958549)",4,2,"(4, 2)"
163,B,"(959471, 959473, 959477, 959479)",959473,"(959471, 959477, 959479)",6,2,"(6, 2)"
164,C,"(976301, 976303, 976307, 976309)",976307,"(976301, 976303, 976309)",2,6,"(2, 6)"
165,E,"(978071, 978073, 978077, 978079)",978079,"(978071, 978073, 978077)",2,4,"(2, 4)"
166,A,"(983441, 983443, 983447, 983449)",983441,"(983443, 983447, 983449)",4,2,"(4, 2)"
167,B,"(1002341, 1002343, 1002347, 1002349)",1002343,"(1002341, 1002347, 1002349)",6,2,"(6, 2)"
168,C,"(1003361, 1003363, 1003367, 1003369)",1003367,"(1003361, 1003363, 1003369)",2,6,"(2, 6)"
169,E,"(1006301, 1006303, 1006307, 1006309)",1006309,"(1006301, 1006303, 1006307)",2,4,"(2, 4)"
170,A,"(1006331, 1006333, 1006337, 1006339)",1006331,"(1006333, 1006337, 1006339)",4,2,"(4, 2)"
171,B,"(1008851, 1008853, 1008857, 1008859)",1008853,"(1008851, 1008857, 1008859)",6,2,"(6, 2)"
172,C,"(1015361, 1015363, 1015367, 1015369)",1015367,"(1015361, 1015363, 1015369)",2,6,"(2, 6)"
173,E,"(1022381, 1022383, 1022387, 1022389)",1022389,"(1022381, 1022383, 1022387)",2,4,"(2, 4)"
174,A,"(1022501, 1022503, 1022507, 1022509)",1022501,"(1022503, 1022507, 1022509)",4,2,"(4, 2)"
175,B,"(1023941, 1023943, 1023947, 1023949)",1023943,"(1023941, 1023947, 1023949)",6,2,"(6, 2)"
176,C,"(1027751, 1027753, 1027757, 1027759)",1027757,"(1027751, 1027753, 1027759)",2,6,"(2, 6)"
177,E,"(1043591, 1043593, 1043597, 1043599)",1043599,"(1043591, 1043593, 1043597)",2,4,"(2, 4)"
178,A,"(1063961, 1063963, 1063967, 1063969)",1063961,"(1063963, 1063967, 1063969)",4,2,"(4, 2)"
179,B,"(1065011, 1065013, 1065017, 1065019)",1065013,"(1065011, 1065017, 1065019)",6,2,"(6, 2)"
180,C,"(1068251, 1068253, 1068257, 1068259)",1068257,"(1068251, 1068253, 1068259)",2,6,"(2, 6)"
181,E,"(1068701, 1068703, 1068707, 1068709)",1068709,"(1068701, 1068703, 1068707)",2,4,"(2, 4)"
182,A,"(1091261, 1091263, 1091267, 1091269)",1091261,"(1091263, 1091267, 1091269)",4,2,"(4, 2)"
183,B,"(1093061, 1093063, 1093067, 1093069)",1093063,"(1093061, 1093067, 1093069)",6,2,"(6, 2)"
184,C,"(1093991, 1093993, 1093997, 1093999)",1093997,"(1093991, 1093993, 1093999)",2,6,"(2, 6)"
185,E,"(1100831, 1100833, 1100837, 1100839)",1100839,"(1100831, 1100833, 1100837)",2,4,"(2, 4)"
186,A,"(1117601, 1117603, 1117607, 1117609)",1117601,"(1117603, 1117607, 1117609)",4,2,"(4, 2)"
187,B,"(1117811, 1117813, 1117817, 1117819)",1117813,"(1117811, 1117817, 1117819)",6,2,"(6, 2)"
188,C,"(1118861, 1118863, 1118867, 1118869)",1118867,"(1118861, 1118863, 1118869)",2,6,"(2, 6)"
189,E,"(1120541, 1120543, 1120547, 1120549)",1120549,"(1120541, 1120543, 1120547)",2,4,"(2, 4)"
190,A,"(1121831, 1121833, 1121837, 1121839)",1121831,"(1121833, 1121837, 1121839)",4,2,"(4, 2)"
191,B,"(1122131, 1122133, 1122137, 1122139)",1122133,"(1122131, 1122137, 1122139)",6,2,"(6, 2)"
192,C,"(1126661, 1126663, 1126667, 1126669)",1126667,"(1126661, 1126663, 1126669)",2,6,"(2, 6)"
193,E,"(1137881, 1137883, 1137887, 1137889)",1137889,"(1137881, 1137883, 1137887)",2,4,"(2, 4)"
194,A,"(1146791, 1146793, 1146797, 1146799)",1146791,"(1146793, 1146797, 1146799)",4,2,"(4, 2)"
195,B,"(1155611, 1155613, 1155617, 1155619)",1155613,"(1155611, 1155617, 1155619)",6,2,"(6, 2)"
196,C,"(1156031, 1156033, 1156037, 1156039)",1156037,"(1156031, 1156033, 1156039)",2,6,"(2, 6)"
197,E,"(1157831, 1157833, 1157837, 1157839)",1157839,"(1157831, 1157833, 1157837)",2,4,"(2, 4)"
198,A,"(1163711, 1163713, 1163717, 1163719)",1163711,"(1163713, 1163717, 1163719)",4,2,"(4, 2)"
199,B,"(1167701, 1167703, 1167707, 1167709)",1167703,"(1167701, 1167707, 1167709)",6,2,"(6, 2)"
200,C,"(1168241, 1168243, 1168247, 1168249)",1168247,"(1168241, 1168243, 1168249)",2,6,"(2, 6)"
201,E,"(1170131, 1170133, 1170137, 1170139)",1170139,"(1170131, 1170133, 1170137)",2,4,"(2, 4)"
202,A,"(1172021, 1172023, 1172027, 1172029)",1172021,"(1172023, 1172027, 1172029)",4,2,"(4, 2)"
203,B,"(1172531, 1172533, 1172537, 1172539)",1172533,"(1172531, 1172537, 1172539)",6,2,"(6, 2)"
204,C,"(1173581, 1173583, 1173587, 1173589)",1173587,"(1173581, 1173583, 1173589)",2,6,"(2, 6)"
205,E,"(1182281, 1182283, 1182287, 1182289)",1182289,"(1182281, 1182283, 1182287)",2,4,"(2, 4)"
206,A,"(1210871, 1210873, 1210877, 1210879)",1210871,"(1210873, 1210877, 1210879)",4,2,"(4, 2)"
207,B,"(1228391, 1228393, 1228397, 1228399)",1228393,"(1228391, 1228397, 1228399)",6,2,"(6, 2)"
208,C,"(1230371, 1230373, 1230377, 1230379)",1230377,"(1230371, 1230373, 1230379)",2,6,"(2, 6)"
209,E,"(1233431, 1233433, 1233437, 1233439)",1233439,"(1233431, 1233433, 1233437)",2,4,"(2, 4)"
210,A,"(1246241, 1246243, 1246247, 1246249)",1246241,"(1246243, 1246247, 1246249)",4,2,"(4, 2)"
211,B,"(1246361, 1246363, 1246367, 1246369)",1246363,"(1246361, 1246367, 1246369)",6,2,"(6, 2)"
212,C,"(1257071, 1257073, 1257077, 1257079)",1257077,"(1257071, 1257073, 1257079)",2,6,"(2, 6)"
213,E,"(1272281, 1272283, 1272287, 1272289)",1272289,"(1272281, 1272283, 1272287)",2,4,"(2, 4)"
214,A,"(1285511, 1285513, 1285517, 1285519)",1285511,"(1285513, 1285517, 1285519)",4,2,"(4, 2)"
215,B,"(1298111, 1298113, 1298117, 1298119)",1298113,"(1298111, 1298117, 1298119)",6,2,"(6, 2)"
216,C,"(1322171, 1322173, 1322177, 1322179)",1322177,"(1322171, 1322173, 1322179)",2,6,"(2, 6)"
