mu,q,s,trace,norm,quartic_mu_q_residual,circle_mu_q_residual,quartic_mu_s_residual,circle_mu_s_residual,resultant_mu_residual,resultant_s_residual,is_admissible_interference,quartic_trace_norm_residual,circle_trace_norm_residual,class
-4.0,-3.0,9.0,-4.0,25.0,18.0,9.0,18.0,9.0,-144.0,27216.0,False,398.0,17.0,none
-4.0,-2.0,4.0,-4.0,20.0,-92.0,4.0,-92.0,4.0,-144.0,576.0,False,228.0,12.0,none
-4.0,-1.9364916731037085,3.7500000000000004,-4.0,19.75,-96.1875,3.7500000000000004,-96.1875,3.7500000000000004,-144.0,9.094947017729282e-13,False,220.8125,11.75,none
-4.0,0.0,0.0,-4.0,16.0,-144.0,0.0,-144.0,0.0,-144.0,0.0,False,128.0,8.0,circle
-4.0,1.9364916731037085,3.7500000000000004,-4.0,19.75,-96.1875,3.7500000000000004,-96.1875,3.7500000000000004,-144.0,9.094947017729282e-13,False,220.8125,11.75,none
-4.0,2.0,4.0,-4.0,20.0,-92.0,4.0,-92.0,4.0,-144.0,576.0,False,228.0,12.0,none
-4.0,3.0,9.0,-4.0,25.0,18.0,9.0,18.0,9.0,-144.0,27216.0,False,398.0,17.0,none
-3.0,-3.0,9.0,-3.0,18.0,42.0,6.0,42.0,6.0,-36.0,27216.0,False,228.0,12.0,none
-3.0,-2.0,4.0,-3.0,13.0,-28.0,1.0,-28.0,1.0,-36.0,576.0,False,113.0,7.0,none
-3.0,-1.9364916731037085,3.7500000000000004,-3.0,12.75,-30.1875,0.7500000000000004,-30.1875,0.7500000000000004,-36.0,9.094947017729282e-13,False,108.5625,6.75,none
-3.0,0.0,0.0,-3.0,9.0,-48.0,-3.0,-48.0,-3.0,-36.0,0.0,False,57.0,3.0,none
-3.0,1.9364916731037085,3.7500000000000004,-3.0,12.75,-30.1875,0.7500000000000004,-30.1875,0.7500000000000004,-36.0,9.094947017729282e-13,False,108.5625,6.75,none
-3.0,2.0,4.0,-3.0,13.0,-28.0,1.0,-28.0,1.0,-36.0,576.0,False,113.0,7.0,none
-3.0,3.0,9.0,-3.0,18.0,42.0,6.0,42.0,6.0,-36.0,27216.0,False,228.0,12.0,none
-2.5,-3.0,9.0,-2.5,15.25,59.0625,5.25,59.0625,5.25,0.0,27216.0,False,178.4375,10.25,none
-2.5,-2.0,4.0,-2.5,10.25,1.5625,0.25,1.5625,0.25,0.0,576.0,False,83.4375,5.25,none
-2.5,-1.9364916731037085,3.7500000000000004,-2.5,10.0,3.9968028886505635e-15,4.440892098500626e-16,3.9968028886505635e-15,4.440892098500626e-16,0.0,9.094947017729282e-13,True,80.0,5.0,both
-2.5,0.0,0.0,-2.5,6.25,-8.4375,-3.75,-8.4375,-3.75,0.0,0.0,False,43.4375,1.25,none
-2.5,1.9364916731037085,3.7500000000000004,-2.5,10.0,3.9968028886505635e-15,4.440892098500626e-16,3.9968028886505635e-15,4.440892098500626e-16,0.0,9.094947017729282e-13,True,80.0,5.0,both
-2.5,2.0,4.0,-2.5,10.25,1.5625,0.25,1.5625,0.25,0.0,576.0,False,83.4375,5.25,none
-2.5,3.0,9.0,-2.5,15.25,59.0625,5.25,59.0625,5.25,0.0,27216.0,False,178.4375,10.25,none
-2.0,-3.0,9.0,-2.0,13.0,74.0,5.0,74.0,5.0,24.0,27216.0,False,144.0,9.0,none
-2.0,-2.0,4.0,-2.0,8.0,24.0,0.0,24.0,0.0,24.0,576.0,False,64.0,4.0,circle
-2.0,-1.9364916731037085,3.7500000000000004,-2.0,7.75,22.812500000000004,-0.24999999999999956,22.812500000000004,-0.24999999999999956,24.0,9.094947017729282e-13,False,61.3125,3.75,none
-2.0,0.0,0.0,-2.0,4.0,20.0,-4.0,20.0,-4.0,24.0,0.0,False,36.0,0.0,none
-2.0,1.9364916731037085,3.7500000000000004,-2.0,7.75,22.812500000000004,-0.24999999999999956,22.812500000000004,-0.24999999999999956,24.0,9.094947017729282e-13,False,61.3125,3.75,none
-2.0,2.0,4.0,-2.0,8.0,24.0,0.0,24.0,0.0,24.0,576.0,False,64.0,4.0,circle
-2.0,3.0,9.0,-2.0,13.0,74.0,5.0,74.0,5.0,24.0,27216.0,False,144.0,9.0,none
-1.0,-3.0,9.0,-1.0,10.0,90.0,6.0,90.0,6.0,36.0,27216.0,False,104.0,8.0,none
-1.0,-2.0,4.0,-1.0,5.0,40.0,1.0,40.0,1.0,36.0,576.0,False,39.0,3.0,none
-1.0,-1.9364916731037085,3.7500000000000004,-1.0,4.75,38.8125,0.7500000000000004,38.8125,0.7500000000000004,36.0,9.094947017729282e-13,False,37.0625,2.75,none
-1.0,0.0,0.0,-1.0,1.0,36.0,-3.0,36.0,-3.0,36.0,0.0,False,23.0,-1.0,none
-1.0,1.9364916731037085,3.7500000000000004,-1.0,4.75,38.8125,0.7500000000000004,38.8125,0.7500000000000004,36.0,9.094947017729282e-13,False,37.0625,2.75,none
-1.0,2.0,4.0,-1.0,5.0,40.0,1.0,40.0,1.0,36.0,576.0,False,39.0,3.0,none
-1.0,3.0,9.0,-1.0,10.0,90.0,6.0,90.0,6.0,36.0,27216.0,False,104.0,8.0,none
0.0,-3.0,9.0,0.0,9.0,90.0,9.0,90.0,9.0,-0.0,27216.0,False,90.0,9.0,none
0.0,-2.0,4.0,0.0,4.0,20.0,4.0,20.0,4.0,-0.0,576.0,False,20.0,4.0,none
0.0,-1.9364916731037085,3.7500000000000004,0.0,3.7500000000000004,17.812500000000004,3.7500000000000004,17.812500000000004,3.7500000000000004,-0.0,9.094947017729282e-13,False,17.812500000000004,3.7500000000000004,none
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,True,0.0,0.0,both
0.0,1.9364916731037085,3.7500000000000004,0.0,3.7500000000000004,17.812500000000004,3.7500000000000004,17.812500000000004,3.7500000000000004,-0.0,9.094947017729282e-13,False,17.812500000000004,3.7500000000000004,none
0.0,2.0,4.0,0.0,4.0,20.0,4.0,20.0,4.0,-0.0,576.0,False,20.0,4.0,none
0.0,3.0,9.0,0.0,9.0,90.0,9.0,90.0,9.0,-0.0,27216.0,False,90.0,9.0,none
